Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11,596.000000,612.000000,595.000000,609.000000,598.517700,54416046
2021-03-12,615.000000,618.000000,609.000000,614.000000,603.431702,33168846
2021-03-15,614.000000,614.000000,609.000000,611.000000,600.483276,27416758
2021-03-16,610.000000,613.000000,607.000000,613.000000,602.448975,36949425
2021-03-17,612.000000,612.000000,602.000000,604.000000,596.034607,39517807
2021-03-18,606.000000,609.000000,602.000000,602.000000,594.060974,29415526
2021-03-19,594.000000,598.000000,591.000000,591.000000,583.206055,70866028
2021-03-22,588.000000,598.000000,586.000000,593.000000,585.179688,34089033
2021-03-23,597.000000,603.000000,593.000000,594.000000,586.166504,29374037
2021-03-24,571.000000,582.000000,571.000000,576.000000,568.403931,107253959
2021-03-25,572.000000,581.000000,570.000000,575.000000,567.417053,67833354
2021-03-26,582.000000,592.000000,580.000000,590.000000,582.219299,36829858
2021-03-29,599.000000,602.000000,596.000000,599.000000,591.100525,37884733
2021-03-30,600.000000,600.000000,592.000000,597.000000,589.126953,33099123
2021-03-31,596.000000,597.000000,587.000000,587.000000,579.258789,38790886
2021-04-01,598.000000,602.000000,594.000000,602.000000,594.060974,43091157
2021-04-07,614.000000,614.000000,608.000000,610.000000,601.955505,24603109
2021-04-08,606.000000,613.000000,603.000000,613.000000,604.915955,23976625
2021-04-09,618.000000,618.000000,609.000000,610.000000,601.955505,27303862
2021-04-12,612.000000,613.000000,603.000000,605.000000,597.021423,22606128
2021-04-13,604.000000,613.000000,604.000000,605.000000,597.021423,25971622
2021-04-14,608.000000,612.000000,600.000000,612.000000,603.929077,30077913
2021-04-15,612.000000,619.000000,607.000000,619.000000,610.836792,33530942
2021-04-16,610.000000,611.000000,603.000000,610.000000,601.955505,48507383
2021-04-19,605.000000,607.000000,601.000000,603.000000,595.047852,24231637
2021-04-20,598.000000,602.000000,595.000000,602.000000,594.060974,34771635
2021-04-21,599.000000,599.000000,592.000000,592.000000,584.192871,38458220
2021-04-22,596.000000,598.000000,591.000000,591.000000,583.206055,33868521
2021-04-23,592.000000,602.000000,590.000000,602.000000,594.060974,27754511
2021-04-26,605.000000,610.000000,603.000000,610.000000,601.955505,30887664
2021-04-27,608.000000,611.000000,605.000000,610.000000,601.955505,26317481
2021-04-28,606.000000,608.000000,601.000000,602.000000,594.060974,24024054
2021-04-29,609.000000,609.000000,600.000000,600.000000,592.087402,31828333
2021-05-03,595.000000,597.000000,588.000000,588.000000,580.245667,41762441
2021-05-04,588.000000,594.000000,582.000000,591.000000,583.206055,40273595
2021-05-05,594.000000,594.000000,585.000000,585.000000,577.285156,29254785
2021-05-06,590.000000,590.000000,580.000000,587.000000,579.258789,30725590
2021-05-07,594.000000,600.000000,589.000000,599.000000,591.100525,28075722
2021-05-10,596.000000,597.000000,588.000000,589.000000,581.232422,20434079
2021-05-11,579.000000,580.000000,570.000000,571.000000,563.469788,59349193
2021-05-12,567.000000,571.000000,518.000000,560.000000,552.614868,131741482
2021-05-13,547.000000,563.000000,541.000000,547.000000,539.786316,66765627
2021-05-14,556.000000,562.000000,552.000000,557.000000,549.654419,37533726
2021-05-17,544.000000,558.000000,541.000000,549.000000,541.759949,56270958
2021-05-18,563.000000,573.000000,555.000000,572.000000,564.456604,43689316
2021-05-19,571.000000,572.000000,565.000000,567.000000,559.522583,28908777
2021-05-20,567.000000,571.000000,560.000000,567.000000,559.522583,29709287
2021-05-21,572.000000,577.000000,568.000000,573.000000,565.443420,27376731
2021-05-24,570.000000,572.000000,566.000000,568.000000,560.509338,15629736
2021-05-25,576.000000,584.000000,573.000000,583.000000,575.311584,33039911
2021-05-26,587.000000,588.000000,581.000000,585.000000,577.285156,18703987
2021-05-27,580.000000,582.000000,573.000000,582.000000,574.324707,62169719
2021-05-28,587.000000,592.000000,582.000000,590.000000,582.219299,29086873
2021-05-31,595.000000,597.000000,590.000000,597.000000,589.126953,30657474
2021-06-01,598.000000,599.000000,595.000000,598.000000,590.113708,17818326
